population_id	population_label	cl_id	matching_positive	missing_positive	extra_positive	matching_negative	missing_negative	extra_negative
live_cells	Live Cells	CL:0000003	-	-	CL term not found	-	-	CL term not found
asc	Antibody Secreting Cell	CL:0000946	-	CD19 (pr:000001020); CD45 (pr:000001309); CD27 (pr:000001851); CD38 (pr:000001937)	CL term not found	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380)	CL term not found
t1_t2_b	Transitional B Cell Type 1/2	CL:0000818	-	CD19 (pr:000001020); CD45 (pr:000001309); CD38 (pr:000001937)	pr:000000001; CD14 (pr:000001002); pr:000001281; pr:000001289; pr:000001408; pr:000001932; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); CD27 (pr:000001851)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
mature_b	Mature B Cell	CL:0000785	-	CD19 (pr:000001020); CD45 (pr:000001309)	pr:000000001; CD14 (pr:000001002); pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); CD27 (pr:000001851)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
naive_b	Naive B Cell	CL:0000788	-	CD19 (pr:000001020); CD45 (pr:000001309); IgM (pr:000002109); IgD (pr:000002238)	pr:000000001; CD14 (pr:000001002); pr:000001289; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); CD24 (pr:000001824); CD27 (pr:000001851)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001963; pr:000018263; pr:000064867
bdn	Double Negative B Cell	CL:0000785	-	CD19 (pr:000001020); CD45 (pr:000001309)	pr:000000001; CD14 (pr:000001002); pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); CD24 (pr:000001824); CD27 (pr:000001851)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
bmem	Memory B Cell	CL:0000787	-	CD19 (pr:000001020); CD45 (pr:000001309); CD27 (pr:000001851)	pr:000000001; CD14 (pr:000001002); pr:000001289; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001935; pr:000018263; pr:000064867
switched	Class-Switched Memory B Cell	CL:0000972	-	CD19 (pr:000001020); CD45 (pr:000001309); CD27 (pr:000001851)	pr:000000001; CD14 (pr:000001002); pr:000001289; pr:000001963; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); IgM (pr:000002109); IgD (pr:000002238)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001935; pr:000018263; pr:000064867
iga_mem	IgA Memory B Cell	CL:0000972	-	CD19 (pr:000001020); CD45 (pr:000001309); CD27 (pr:000001851); IgA (pr:000002007)	pr:000000001; CD14 (pr:000001002); pr:000001289; pr:000001963; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); IgM (pr:000002109); IgG (pr:000002152); IgD (pr:000002238)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001935; pr:000018263; pr:000064867
igg_mem	IgG Memory B Cell	CL:0000972	-	CD19 (pr:000001020); CD45 (pr:000001309); CD27 (pr:000001851); IgG (pr:000002152)	pr:000000001; CD14 (pr:000001002); pr:000001289; pr:000001963; pr:000018263; pr:000064867	-	CD3 (pr:000000927); CD14 (pr:000001002); CD56 (pr:000001380); IgA (pr:000002007); IgM (pr:000002109); IgD (pr:000002238)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001935; pr:000018263; pr:000064867
t_lymph	T Lymphocyte	CL:0000084	-	CD3 (pr:000000927); CD45 (pr:000001309)	CL term not found	-	CD14 (pr:000001002)	CL term not found
cd4t	CD4+ T Cell	CL:0000624	-	CD3 (pr:000000927); CD4 (pr:000000932); CD45 (pr:000001309)	pr:000000001; pr:000001004; pr:000018263; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD56 (pr:000001380)	pr:000025402
cd8t	CD8+ T Cell	CL:0000625	-	CD3 (pr:000000927); CD8 (pr:000000949); CD45 (pr:000001309)	pr:000025402	-	CD4 (pr:000000932); CD14 (pr:000001002); CD56 (pr:000001380)	pr:000000001; pr:000001004; pr:000018263; pr:000064867
cd4_naive	CD4+ Naive T Cell	CL:0000895	-	CD3 (pr:000000927); CD4 (pr:000000932); CD197 (pr:000001308); CD45 (pr:000001309); CD45RA (pr:000001336)	pr:000000001; pr:000001004; pr:000001006; pr:000001015; pr:000001094; pr:000001128; pr:000001203; pr:000001307; pr:000001318; pr:000001869; pr:000018263; pr:000030035; pr:000050216; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002)	pr:000000001; pr:000001307; CD56 (pr:000001380); pr:000018263; pr:000025402; pr:000064867
cd4_cm	CD4+ Central Memory T Cell	CL:0000904	-	CD3 (pr:000000927); CD4 (pr:000000932); CD197 (pr:000001308); CD45 (pr:000001309)	pr:000000001; pr:000001004; pr:000001006; pr:000001017; pr:000001094; pr:000001128; pr:000001203; pr:000001307; pr:000001381; pr:000001869; pr:000018263; pr:000030035; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD45RA (pr:000001336)	pr:000000001; pr:000001006; pr:000001015; CD56 (pr:000001380); pr:000018263; pr:000025402; pr:000050216; pr:000064867
cd4_em	CD4+ Effector Memory T Cell	CL:0000905	-	CD3 (pr:000000927); CD4 (pr:000000932); CD45 (pr:000001309)	pr:000000001; pr:000001004; pr:000001006; pr:000001017; pr:000001307; pr:000001381; pr:000001869; pr:000018263; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD197 (pr:000001308); CD45RA (pr:000001336)	pr:000000001; pr:000001006; pr:000001015; pr:000001094; pr:000001128; pr:000001203; CD56 (pr:000001380); pr:000018263; pr:000025402; pr:000030035; pr:000050216; pr:000064867
cd4_temra	CD4+ Terminal Effector Memory T Cell	CL:0000907	-	CD3 (pr:000000927); CD4 (pr:000000932); CD45 (pr:000001309); CD45RA (pr:000001336)	pr:000000001; pr:000001006; pr:000001017; pr:000001094; pr:000001128; pr:000001203; pr:000001307; pr:000001381; pr:000001869; pr:000018263; pr:000025402; pr:000030035; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD197 (pr:000001308)	pr:000000001; pr:000001004; pr:000001006; pr:000001015; CD56 (pr:000001380); pr:000018263; pr:000050216; pr:000064867
treg	Regulatory T Cell	CL:0000815	-	CD3 (pr:000000927); CD4 (pr:000000932); CD45 (pr:000001309); CD25 (pr:000001823)	CL term not found	-	CD8 (pr:000000949); CD14 (pr:000001002)	CL term not found
th1	CD4+ Th1 Cell	CL:0000545	-	CD3 (pr:000000927); CD4 (pr:000000932); CD183 (pr:000001046); CD45 (pr:000001309)	pr:000000001; pr:000001004; pr:000001094; pr:000001128; pr:000001207; pr:000018263; pr:000030035; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD185 (pr:000001185)	pr:000000001; pr:000001094; pr:000001128; pr:000001202; pr:000018263; pr:000025402; pr:000030035; pr:000064867
th2	CD4+ Th2 Cell	CL:0000546	-	CD3 (pr:000000927); CD4 (pr:000000932); CD194 (pr:000001057); CD45 (pr:000001309)	pr:000000001; pr:000001004; pr:000018263; pr:000064867	-	CD8 (pr:000000949); CD14 (pr:000001002); CD183 (pr:000001046); CD185 (pr:000001185)	pr:000000001; pr:000001094; pr:000001128; pr:000001202; pr:000001207; pr:000018263; pr:000025402; pr:000030035; pr:000064867
cd8_naive	CD8+ Naive T Cell	CL:0000900	-	CD3 (pr:000000927); CD8 (pr:000000949); CD197 (pr:000001308); CD45 (pr:000001309); CD45RA (pr:000001336)	pr:000000001; pr:000001006; pr:000001015; pr:000001094; pr:000001128; pr:000001203; pr:000001307; pr:000001318; pr:000001869; pr:000018263; pr:000025402; pr:000030035; pr:000050216; pr:000064867	-	CD4 (pr:000000932); CD14 (pr:000001002)	pr:000000001; pr:000001004; pr:000001307; CD56 (pr:000001380); pr:000018263; pr:000064867
cd8_cm	CD8+ Central Memory T Cell	CL:0000909	-	CD3 (pr:000000927); CD8 (pr:000000949); CD197 (pr:000001308); CD45 (pr:000001309)	pr:000025402	-	CD4 (pr:000000932); CD14 (pr:000001002); CD45RA (pr:000001336)	pr:000000001; pr:000001004; pr:000018263; pr:000064867
cd8_em	CD8+ Effector Memory T Cell	CL:0000913	-	CD3 (pr:000000927); CD8 (pr:000000949); CD45 (pr:000001309)	pr:000000001; pr:000001006; pr:000001017; pr:000001307; pr:000001381; pr:000001869; pr:000018263; pr:000025402; pr:000064867	-	CD4 (pr:000000932); CD14 (pr:000001002); CD197 (pr:000001308); CD45RA (pr:000001336)	pr:000000001; pr:000001004; pr:000001006; pr:000001015; pr:000001094; pr:000001128; pr:000001203; CD56 (pr:000001380); pr:000018263; pr:000030035; pr:000050216; pr:000064867
cd8_temra	CD8+ Terminal Effector Memory T Cell	CL:0000907	-	CD3 (pr:000000927); CD8 (pr:000000949); CD45 (pr:000001309); CD45RA (pr:000001336)	pr:000000001; pr:000001006; pr:000001017; pr:000001094; pr:000001128; pr:000001203; pr:000001307; pr:000001381; pr:000001869; pr:000018263; pr:000025402; pr:000030035; pr:000064867	-	CD4 (pr:000000932); CD14 (pr:000001002); CD197 (pr:000001308)	pr:000000001; pr:000001004; pr:000001006; pr:000001015; CD56 (pr:000001380); pr:000018263; pr:000050216; pr:000064867
gdT	Gamma Delta T Cell	CL:0000798	-	CD3 (pr:000000927); CD45 (pr:000001309)	CL term not found	-	CD14 (pr:000001002)	CL term not found
mait	MAIT Cell	CL:0000940	-	CD3 (pr:000000927); CD45 (pr:000001309); CD161 (pr:000001432)	CL term not found	-	CD14 (pr:000001002)	CL term not found
nk	Natural Killer Cell	CL:0000623	-	CD45 (pr:000001309); CD56 (pr:000001380)	-	CD14 (pr:000001002); CD19 (pr:000001020)	CD3 (pr:000000927); CD123 (pr:000001199)	pr:000000001; pr:000001018; pr:000001289; pr:000001889; pr:000018263; pr:000064867
nk_bright	CD56bright NK Cell	CL:0000623	-	CD127 (pr:000001127); CD45 (pr:000001309); CD56 (pr:000001380)	-	CD14 (pr:000001002); CD19 (pr:000001020)	CD3 (pr:000000927); CD123 (pr:000001199)	pr:000000001; pr:000001018; pr:000001289; pr:000001889; pr:000018263; pr:000064867
nk_dim	CD56dim NK Cell	CL:0000623	-	CD16 (pr:000001005); CD45 (pr:000001309); CD56 (pr:000001380)	-	CD14 (pr:000001002); CD19 (pr:000001020)	CD3 (pr:000000927); CD123 (pr:000001199)	pr:000000001; pr:000001018; pr:000001289; pr:000001889; pr:000018263; pr:000064867
mono	Monocyte	CL:0000576	-	CD14 (pr:000001002); CD45 (pr:000001309)	CL term not found	-	CD3 (pr:000000927); CD19 (pr:000001020); CD56 (pr:000001380)	CL term not found
classical_mono	Classical Monocyte	CL:0000860	-	CD14 (pr:000001002); CD45 (pr:000001309)	pr:000000001; pr:000001094; pr:000001128; CD123 (pr:000001199); pr:000018263; pr:000030035; pr:000064867	CD19 (pr:000001020)	CD3 (pr:000000927); CD16 (pr:000001005); CD56 (pr:000001380)	pr:000000001; CD14 (pr:000001002); pr:000001018; pr:000001289; pr:000018263; pr:000064867
nonclassical_mono	Non-Classical Monocyte	CL:0000875	-	CD16 (pr:000001005); CD45 (pr:000001309)	pr:000000001; pr:000001094; pr:000001128; pr:000001206; pr:000018263; pr:000030035; pr:000064867	CD19 (pr:000001020)	CD3 (pr:000000927); CD56 (pr:000001380)	pr:000000001; CD14 (pr:000001002); pr:000001018; pr:000001289; pr:000018263; pr:000064867
